uid,event,ioi,period,pulses
89018cb7a77608f0-0,3,4,16,4
89018cb7a77608f0-0,4,1,16,4
89018cb7a77608f0-0,5,1,16,4
89018cb7a77608f0-0,6,1,16,4
89018cb7a77608f0-0,7,1,16,4
89018cb7a77608f0-0,8,1,16,4
89018cb7a77608f0-0,9,1,16,4
89018cb7a77608f0-0,10,1,16,4
89018cb7a77608f0-0,11,1,16,4
89018cb7a77608f0-0,12,8,16,4
89018cb7a77608f0-0,13,3,16,4
89018cb7a77608f0-0,14,1,16,4
89018cb7a77608f0-0,15,2,16,4
89018cb7a77608f0-0,16,2,16,4
89018cb7a77608f0-0,17,3,16,4
89018cb7a77608f0-0,18,1,16,4
89018cb7a77608f0-0,19,2,16,4
89018cb7a77608f0-0,20,1,16,4
89018cb7a77608f0-0,21,1,16,4
89018cb7a77608f0-0,22,1,16,4
89018cb7a77608f0-0,23,1,16,4
89018cb7a77608f0-0,24,1,16,4
89018cb7a77608f0-0,25,1,16,4
89018cb7a77608f0-0,26,2,16,4
89018cb7a77608f0-0,27,1,16,4
89018cb7a77608f0-0,28,1,16,4
6c25fa3ccda611c6-0,0,4,20,10
6c25fa3ccda611c6-0,1,2,20,10
6c25fa3ccda611c6-0,2,2,20,10
6c25fa3ccda611c6-0,3,2,20,10
6c25fa3ccda611c6-0,4,1,20,10
6c25fa3ccda611c6-0,5,1,20,10
6c25fa3ccda611c6-0,6,1,20,10
6c25fa3ccda611c6-0,7,1,20,10
6c25fa3ccda611c6-0,8,6,20,10
6c25fa3ccda611c6-0,9,2,20,10
6c25fa3ccda611c6-0,10,2,20,10
6c25fa3ccda611c6-0,11,2,20,10
6c25fa3ccda611c6-0,12,2,20,10
6c25fa3ccda611c6-0,13,2,20,10
6c25fa3ccda611c6-0,14,2,20,10
6c25fa3ccda611c6-0,15,2,20,10
6c25fa3ccda611c6-0,16,3,20,10
6c25fa3ccda611c6-0,17,1,20,10
6c25fa3ccda611c6-0,18,2,20,10
6c25fa3ccda611c6-0,19,1,20,10
6c25fa3ccda611c6-0,20,1,20,10
6c25fa3ccda611c6-0,21,2,20,10
6c25fa3ccda611c6-0,22,2,20,10
6c25fa3ccda611c6-0,23,2,20,10
6c25fa3ccda611c6-0,24,2,20,10
6c25fa3ccda611c6-0,25,2,20,10
6c25fa3ccda611c6-0,26,2,20,10
6c25fa3ccda611c6-0,27,3,20,10
6c25fa3ccda611c6-0,28,1,20,10
077ea124db1a4a25-0,0,2,18,9
077ea124db1a4a25-0,1,2,18,9
077ea124db1a4a25-0,2,2,18,9
077ea124db1a4a25-0,3,2,18,9
077ea124db1a4a25-0,4,2,18,9
077ea124db1a4a25-0,5,2,18,9
077ea124db1a4a25-0,6,4,18,9
077ea124db1a4a25-0,7,2,18,9
077ea124db1a4a25-0,8,2,18,9
077ea124db1a4a25-0,9,2,18,9
077ea124db1a4a25-0,10,2,18,9
077ea124db1a4a25-0,11,2,18,9
077ea124db1a4a25-0,12,2,18,9
077ea124db1a4a25-0,13,2,18,9
077ea124db1a4a25-0,14,4,18,9
077ea124db1a4a25-0,15,2,18,9
077ea124db1a4a25-0,16,2,18,9
077ea124db1a4a25-0,17,2,18,9
077ea124db1a4a25-0,18,2,18,9
077ea124db1a4a25-0,19,2,18,9
077ea124db1a4a25-0,20,2,18,9
